[2025-02-03 17:46:46.202679] [0x0000007fb948d010] [MocapTag] [0x0000550f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:46:46.422793] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [76] , 0.415668, 0.0201159, -0.216379, -0.149378, -0.999921, 0.00779777, 0.00838135, 0.00521044, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.427906] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [77] , 0.425643, 0.0201159, -0.216379, -0.149378, -0.999921, 0.00779777, 0.00838135, 0.00521044, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.430176] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [78] , 0.425643, 0.020121, -0.21637, -0.149399, -0.999921, 0.00776795, 0.00834515, 0.00520987, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.432870] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [79] , 0.425643, 0.020121, -0.21637, -0.149399, -0.999921, 0.00776795, 0.00834515, 0.00520987, 0, 0, -0.00204358, 0, 0, 0, 
[2025-02-03 17:46:46.435521] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [80] , 0.425643, 0.020121, -0.21637, -0.149399, -0.999921, 0.00776795, 0.00834515, 0.00520987, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.438168] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [81] , 0.43565, 0.020121, -0.21637, -0.149399, -0.999921, 0.00776795, 0.00834515, 0.00520987, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.441415] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [82] , 0.43565, 0.0201091, -0.216382, -0.149416, -0.999921, 0.00778402, 0.00835919, 0.00522477, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.444167] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [83] , 0.43565, 0.0201091, -0.216382, -0.149416, -0.999921, 0.00778402, 0.00835919, 0.00522477, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.446679] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [84] , 0.445642, 0.0201091, -0.216382, -0.149416, -0.999921, 0.00778402, 0.00835919, 0.00522477, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.449272] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [85] , 0.445642, 0.0201364, -0.216374, -0.149405, -0.999921, 0.00776809, 0.00842289, 0.00519608, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.453005] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [86] , 0.445642, 0.0201364, -0.216374, -0.149405, -0.999921, 0.00776809, 0.00842289, 0.00519608, 0.00272571, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.454509] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [87] , 0.445642, 0.0201364, -0.216374, -0.149405, -0.999921, 0.00776809, 0.00842289, 0.00519608, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.457671] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [88] , 0.455642, 0.0201364, -0.216374, -0.149405, -0.999921, 0.00776809, 0.00842289, 0.00519608, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.460256] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [89] , 0.455642, 0.0201308, -0.216361, -0.149398, -0.999921, 0.00778163, 0.00835895, 0.00519372, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.463141] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [90] , 0.455642, 0.0201308, -0.216361, -0.149398, -0.999921, 0.00778163, 0.00835895, 0.00519372, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.465927] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [91] , 0.455642, 0.0201308, -0.216361, -0.149398, -0.999921, 0.00778163, 0.00835895, 0.00519372, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.468232] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [92] , 0.465651, 0.0201308, -0.216361, -0.149398, -0.999921, 0.00778163, 0.00835895, 0.00519372, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.474529] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [93] , 0.465651, 0.0201208, -0.216362, -0.149382, -0.999922, 0.00778464, 0.00830993, 0.00519584, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.477034] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [94] , 0.475644, 0.0201208, -0.216362, -0.149382, -0.999922, 0.00778464, 0.00830993, 0.00519584, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.478301] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [95] , 0.475644, 0.0201208, -0.216362, -0.149382, -0.999922, 0.00778464, 0.00830993, 0.00519584, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.480864] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [96] , 0.475644, 0.020125, -0.216353, -0.149377, -0.999921, 0.00777427, 0.0083649, 0.00519947, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.483616] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [97] , 0.475644, 0.020125, -0.216353, -0.149377, -0.999921, 0.00777427, 0.0083649, 0.00519947, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.486339] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [98] , 0.485623, 0.020125, -0.216353, -0.149377, -0.999921, 0.00777427, 0.0083649, 0.00519947, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.489413] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [99] , 0.485623, 0.020111, -0.216377, -0.149398, -0.999921, 0.00775477, 0.00839765, 0.00520545, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.492205] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [100] , 0.485623, 0.020111, -0.216377, -0.149398, -0.999921, 0.00775477, 0.00839765, 0.00520545, 0, -0.00239414, -0.00206445, 0, 0, 0, 
[2025-02-03 17:46:46.494750] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [101] , 0.485623, 0.020111, -0.216377, -0.149398, -0.999921, 0.00775477, 0.00839765, 0.00520545, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.497558] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [102] , 0.495629, 0.020111, -0.216377, -0.149398, -0.999921, 0.00775477, 0.00839765, 0.00520545, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.500011] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [103] , 0.495629, 0.0201421, -0.216386, -0.149386, -0.999921, 0.00777703, 0.00836287, 0.00520251, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.504509] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [104] , 0.495629, 0.0201421, -0.216386, -0.149386, -0.999921, 0.00777703, 0.00836287, 0.00520251, 0.00310434, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.507196] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [105] , 0.505621, 0.0201421, -0.216386, -0.149386, -0.999921, 0.00777703, 0.00836287, 0.00520251, 0, 0, 0, 0, 0, 0, 
