[2025-02-03 14:43:07.888250] [0x0000007f9f196010] [MocapTag] [0x00005057] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:43:08.049294] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [53] , 1.04666, -0.00959842, -0.190931, -0.143325, -0.999864, -0.0035527, 0.0138379, 0.00825771, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.052129] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [54] , 1.04666, -0.00958172, -0.190932, -0.143326, -0.999863, -0.00356855, 0.0139023, 0.0082688, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.054989] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [55] , 1.04666, -0.00958172, -0.190932, -0.143326, -0.999863, -0.00356855, 0.0139023, 0.0082688, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.058959] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [56] , 1.05666, -0.00958172, -0.190932, -0.143326, -0.999863, -0.00356855, 0.0139023, 0.0082688, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.062398] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [57] , 1.05666, -0.00958172, -0.190932, -0.143326, -0.999863, -0.00356855, 0.0139023, 0.0082688, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.065265] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [58] , 1.05666, -0.00957232, -0.190928, -0.143341, -0.999862, -0.00356865, 0.0139472, 0.00825986, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.068533] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [59] , 1.06665, -0.00957232, -0.190928, -0.143341, -0.999862, -0.00356865, 0.0139472, 0.00825986, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.070016] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [60] , 1.06665, -0.00957232, -0.190928, -0.143341, -0.999862, -0.00356865, 0.0139472, 0.00825986, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.074318] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [61] , 1.06665, -0.00956443, -0.190909, -0.143359, -0.999863, -0.00355206, 0.013926, 0.00823224, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.076455] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [62] , 1.06665, -0.00956443, -0.190909, -0.143359, -0.999863, -0.00355206, 0.013926, 0.00823224, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.080578] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [63] , 1.07665, -0.00956443, -0.190909, -0.143359, -0.999863, -0.00355206, 0.013926, 0.00823224, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.081909] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [64] , 1.07665, -0.00955168, -0.190899, -0.143376, -0.999863, -0.0035382, 0.0139351, 0.0082353, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.084947] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [65] , 1.07665, -0.00955168, -0.190899, -0.143376, -0.999863, -0.0035382, 0.0139351, 0.0082353, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.087698] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [66] , 1.08666, -0.00955168, -0.190899, -0.143376, -0.999863, -0.0035382, 0.0139351, 0.0082353, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.093268] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [67] , 1.08666, -0.00955168, -0.190899, -0.143376, -0.999863, -0.0035382, 0.0139351, 0.0082353, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.094804] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [68] , 1.08666, -0.0095485, -0.190908, -0.143396, -0.999862, -0.00355332, 0.0139637, 0.00825227, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.098254] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [69] , 1.09664, -0.0095485, -0.190908, -0.143396, -0.999862, -0.00355332, 0.0139637, 0.00825227, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.100647] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [70] , 1.09664, -0.0095485, -0.190908, -0.143396, -0.999862, -0.00355332, 0.0139637, 0.00825227, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.108681] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [71] , 1.10665, -0.00955743, -0.190904, -0.143408, -0.999862, -0.00357573, 0.0139768, 0.00825427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.111483] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [72] , 1.10665, -0.00955743, -0.190904, -0.143408, -0.999862, -0.00357573, 0.0139768, 0.00825427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.112043] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [73] , 1.10665, -0.00955743, -0.190904, -0.143408, -0.999862, -0.00357573, 0.0139768, 0.00825427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.113359] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [74] , 1.10665, -0.00955643, -0.190902, -0.143413, -0.999862, -0.00359571, 0.0139648, 0.00826516, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.116150] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [75] , 1.10665, -0.00955643, -0.190902, -0.143413, -0.999862, -0.00359571, 0.0139648, 0.00826516, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.118939] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [76] , 1.11668, -0.00955643, -0.190902, -0.143413, -0.999862, -0.00359571, 0.0139648, 0.00826516, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.122272] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [77] , 1.11668, -0.00956591, -0.190928, -0.143408, -0.999862, -0.00360299, 0.0139683, 0.00829167, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.125445] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [78] , 1.11668, -0.00956591, -0.190928, -0.143408, -0.999862, -0.00360299, 0.0139683, 0.00829167, 0, -0.00258855, 0, 0, 0, 0, 
