[2025-02-03 17:53:05.855926] [0x0000007f808d0010] [MocapTag] [0x00005f2f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:53:06.055449] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [68] , 1.05432, -0.0307786, -0.203059, -0.149356, -0.999698, 0.00592161, 0.00992825, 0.0216685, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.058453] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [69] , 1.05432, -0.0307786, -0.203059, -0.149356, -0.999698, 0.00592161, 0.00992825, 0.0216685, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.061723] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [70] , 1.05432, -0.0307786, -0.203059, -0.149356, -0.999698, 0.00592161, 0.00992825, 0.0216685, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.064417] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [71] , 1.05432, -0.0307802, -0.203057, -0.149357, -0.999698, 0.00592253, 0.00994076, 0.0216606, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.067249] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [72] , 1.06432, -0.0307802, -0.203057, -0.149357, -0.999698, 0.00592253, 0.00994076, 0.0216606, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.069877] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [73] , 1.06432, -0.0307802, -0.203057, -0.149357, -0.999698, 0.00592253, 0.00994076, 0.0216606, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.072709] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [74] , 1.06432, -0.0307802, -0.203057, -0.149357, -0.999698, 0.00592253, 0.00994076, 0.0216606, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.076801] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [75] , 1.07432, -0.0307915, -0.203037, -0.149346, -0.999698, 0.00593401, 0.00999085, 0.0216653, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.079616] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [76] , 1.07432, -0.0307915, -0.203037, -0.149346, -0.999698, 0.00593401, 0.00999085, 0.0216653, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.082287] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [77] , 1.07432, -0.0307915, -0.203037, -0.149346, -0.999698, 0.00593401, 0.00999085, 0.0216653, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.084975] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [78] , 1.08432, -0.0307929, -0.203057, -0.14937, -0.999697, 0.00597212, 0.0100071, 0.0216659, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.087809] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [79] , 1.08432, -0.0307929, -0.203057, -0.14937, -0.999697, 0.00597212, 0.0100071, 0.0216659, 0, 0, -0.00243949, 0, 0, 0, 
[2025-02-03 17:53:06.092423] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [80] , 1.08432, -0.0307929, -0.203057, -0.14937, -0.999697, 0.00597212, 0.0100071, 0.0216659, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.094998] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [81] , 1.09431, -0.0307912, -0.203045, -0.149348, -0.999698, 0.00593457, 0.0099846, 0.0216761, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.097804] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [82] , 1.09431, -0.0307912, -0.203045, -0.149348, -0.999698, 0.00593457, 0.0099846, 0.0216761, 0, 0, 0.00219876, 0, 0, 0, 
[2025-02-03 17:53:06.100324] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [83] , 1.09431, -0.0307912, -0.203045, -0.149348, -0.999698, 0.00593457, 0.0099846, 0.0216761, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.102914] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [84] , 1.09431, -0.0307933, -0.203042, -0.149356, -0.999697, 0.00596471, 0.00998786, 0.0216834, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.107676] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [85] , 1.10431, -0.0307933, -0.203042, -0.149356, -0.999697, 0.00596471, 0.00998786, 0.0216834, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.110256] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [86] , 1.10431, -0.0307933, -0.203042, -0.149356, -0.999697, 0.00596471, 0.00998786, 0.0216834, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.114133] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [87] , 1.10431, -0.0307933, -0.203042, -0.149356, -0.999697, 0.00596471, 0.00998786, 0.0216834, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.115386] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [88] , 1.11431, -0.0307982, -0.203039, -0.149355, -0.999698, 0.0059266, 0.00995154, 0.0216735, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.118449] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [89] , 1.11431, -0.0307982, -0.203039, -0.149355, -0.999698, 0.0059266, 0.00995154, 0.0216735, 0, 0, 0, 0, 0, 0, 
